Image,Code,Rotation
0,9,-1
1,1,0.04223502495256398
2,1,0.0055016500877844016
3,1,0.0027529885448567258
4,1,0.05463499534994646
5,1,0.013585253426507593
6,1,0.009619817044361888
7,1,0.04223501991438165
8,1,0.002437224581646021
9,1,0.010076317236216272
10,1,0.010076317236216272
11,1,0.0027110890609859297
12,1,0.008035844456061696
13,1,0.008687607582295932
14,1,0.005793138056273882
15,1,0.009619818191534051
16,1,0.007752842494905933
17,1,0.029006386435288172
18,1,0.029006386435288172
19,1,0.06363007799939559
20,1,0.004578418691920671
21,1,0.003552373956195313
22,1,0.005793139576402873
23,1,0.007752842494905933
24,1,0.005644973027032469
25,1,0.008687604900771717
26,1,0.0040009636836181375
27,1,0.007602238992644219
28,1,0.009150934621805242
29,1,0.0018896765067412862
30,1,0.012760104919708956
31,1,0.008687606546514237
32,1,0.0027529889348620073
33,1,0.007602241563456042
34,1,0.0012737273642975597
35,1,0.004578419624379287
36,1,0.004578420299190891
37,1,0.0027529889348620073
38,1,0.0022566511209427564
39,1,0.0022566511209427564
40,1,0.06363007535202236
41,1,0.008687605510732544
42,1,0.019630682883701872
43,1,0.01276010339689403
44,1,0.0014174781072430385
45,1,0.054634994442928006
46,1,0.007752843233993243
47,1,0.0028297425633365026
48,1,0.0036064939651879006
49,1,0.01358525554203184
50,1,0.06363007782741131
51,1,0.002752988801520343
52,1,0.0014174781259519865
53,1,0.008687608192250396
54,1,0.012760101874072742
55,1,0.009619815559085072
56,1,0.004000965559688547
57,1,0.007602242321640584
58,1,0.009150937889876214
59,1,0.004578421360476195
60,1,0.0027529895198667494
61,1,0.06363008030280028
62,1,0.008035842409882447
63,1,0.005644974905691824
64,1,0.008035842409882447
65,1,0.0022566522089499004
66,1,0.008035842409882447
67,1,0.008035842409882447
68,1,0.006533582342928397
69,1,0.0024372258806187146
70,1,0.002752990043213696
71,1,0.0022566522089499004
72,1,0.020153983304684844
73,1,0.023896430803115706
74,1,0.04743147782035227
75,1,0.0055016527244233695
76,1,0.0035523712412298576
77,1,0.007752844897981599
78,1,0.0036064949017056013
79,1,0.002752990566560642
80,1,0.005501653463948893
81,1,0.023896430803115706
82,1,0.030405842734730626
83,1,0.023896430803115706
84,1,0.009619810499401764
85,1,0.017693540408712485
86,1,0.007752846654873643
87,1,0.008687610873774608
88,1,0.004000967605446159
89,1,0.07417925117814644
90,1,0.0014174796467203927
91,1,0.008687610873774608
92,1,0.005644977152935572
93,1,0.004578422710099406
94,1,0.06363007022926019
95,1,0.030405842734730626
96,1,0.047431469120967816
97,1,0.010076314428491545
98,1,0.008035840621031333
99,1,0.04223500796107646
100,1,0.002829744541302527
101,1,0.0024372263728959535
102,1,0.002798476052777762
103,1,0.013585259278829661
104,1,0.002256653630610789
105,1,0.002256653630610789
106,1,0.0036064960994369693
107,1,0.001273728181870044
108,1,0.013585261605280105
109,1,0.020153978060164193
110,1,0.007752848411759328
111,1,0.0036064960994369693
112,1,0.023896427714889878
113,1,0.005644977152935572
114,1,0.07417926008398582
115,1,0.0024372256789480314
116,1,0.009150938981530299
117,1,0.009619813602832681
118,1,0.0014174788769817156
119,1,0.0036064947328795934
120,1,0.004000966821081826
121,1,0.0028297438176166983
122,1,0.0076022440602112685
123,1,0.0055016527244233695
124,1,0.004000966974749519
125,1,0.07417926211315762
126,1,0.005793135357574741
127,1,0.017693540408712485
128,1,0.009619810499401764
129,1,0.007752846654873643
130,1,0.0029069844931770374
131,1,0.04223501616051331
132,1,0.004000967605446159
133,1,0.008687610873774608
134,1,0.008035840621031333
135,1,0.0035523706462905957
136,1,0.0024372263728959535
137,1,0.0012737280035983892
138,1,0.006533583149007474
139,1,0.010076313225424575
